"name","word",count"
"nasrať","nasrať",4410
"posrať","posrať",2420
"pošťať","pošťať",9850
"prdnúť","prdnúť",576
"preslopať","preslopať",4333
vysrať sa,vysrať sa,5430
"zasviniť","zasviniť",39
"zgegnúť","zgegnúť",18
"zhovädiť","zhovädiť",364
"matróna","matróna",261
"škatuľa","škatuľa",5530
"chľastať","chľastať",2550
"doboha","doboha",850
"držať","doboha",89400
"dvere","dvere",540000
"hovno","hovno",27000
"jeho","jeho",1510000
"kydnúť","kydnúť",34
"nabúrať","nabúrať",2010
"napľuť","napľuť",233
"napľuvať","napľuvať",32
"opitý","opitý",32500
"papuľa","papuľa",3370
"papuľovať","papuľovať",80
"pazúr","pazúr",3690
