name,count
les,38
cesta,46
strom,33
voda,46
šarkan,28
hora,101
furman,40
mesto,53
princezná,56
koč,21
kráľ,224
hlava,57
zámok,41
noha,43
dvere,29
diera,23
posteľ,24
šabľa,23
kameň,19
tátoš,16
tovariš,18
šaty,23
kôň,204
dvor,21
rytier,53
chlieb,25
husár,38
vojsko,29
princ,127
brána,16
dcéra,84
košeľa,38
dieťa,35
sluha,28
kráľovná,22
kostol,19
kaštieľ,24
čert,45
studňa,27
žriebä,19
peklo,19
diabol,30
peniaze,38
bohatý,19
podkova,30
krava,18
pes,27
rybník,16
drahý,21
zbojník,21
krčma,31
krčmár,36
horár,29
muzika,18
frajerka,16
líška,17
cisár,12
černokňažník,12
lúka,14
seno,13
chlap,14
preriecť,10
drak,13
svadba,10
kačka,11
varta,10
loď,13
lapiť,11
ryba,12
polienko,12
zajac,14
pastier,10
grajciar,13
kolovrat,12
prsteň,13
gróf,12
krčmárka,13
súdok,10
vajce,10
sviňa,12
